Codigo foto	Carpeta/Subcarpeta	Camara usada	Fecha	Familia	Genero	Especie	Nombre cientifico	Código/ ID del individuo*	Descripcion o Ubicacion	Quebrada-transecto	Colectores	Metodo de captura	file_name	class_1	conf_1	class_2	conf_2	class_3	conf_3	class_4	conf_4	class_5	conf_5
DSC_1171-DSC_1172	Morona 3ra entrada 2019,nov	Nikon D 3500	Sat Nov 30 00:00:00 EST 2019	Loricariidae	Otocinclus	hoppei	Otocinclus hoppei	P1-CV2QKATI-38	Katira	PM-01	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1171.JPG	Hyphessobrycon	93.27676296234131	Phenacogaster	3.3879831433296204	Astyanax	1.6000930219888687	Corydoras	0.6762167438864708	Characidium	0.3653479507192969
DSC_1171-DSC_1172	Morona 3ra entrada 2019,nov	Nikon D 3500	Sat Nov 30 00:00:00 EST 2019	Loricariidae	Otocinclus	hoppei	Otocinclus hoppei	P1-CV2QKATI-38	Katira	PM-01	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1172.JPG	Pyrrhulina	24.13561195135117	Hyphessobrycon	19.84677761793137	Corydoras	15.863648056983948	Pimelodella	8.877719193696977	Erythrinus	6.809419393539429
DSC_1173-DSC_1174	Morona 3ra entrada 2019,nov	Nikon D 3500	Sat Nov 30 00:00:00 EST 2019	Loricariidae	Otocinclus	hoppei	Otocinclus hoppei	P1-CV2QKATI-39	Katira	PM-01	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1173.JPG	Pyrrhulina	94.03371810913086	Hyphessobrycon	2.4168357253074646	Phenacogaster	1.1537040583789349	Hemigrammus	1.0617366991937158	Characidium	0.737942848354578
DSC_1173-DSC_1174	Morona 3ra entrada 2019,nov	Nikon D 3500	Sat Nov 30 00:00:00 EST 2019	Loricariidae	Otocinclus	hoppei	Otocinclus hoppei	P1-CV2QKATI-39	Katira	PM-01	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1174.JPG	Pyrrhulina	39.26105499267578	Characidium	20.14566510915756	Pimelodella	15.91317504644394	Moenkhausia	7.719963788986206	Astyanax	4.684257134795188
DSC_1175-DSC_1176	Morona 3ra entrada 2019,nov	Nikon D 3500	Sat Nov 30 00:00:00 EST 2019	Loricariidae	Otocinclus	macrospilus	Otocinclus macrospilus	P1-CV2QKATI-40	Katira	PM-01	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1175.JPG	Pyrrhulina	61.496412754058845	Hemigrammus	11.821985989809036	Corydoras	5.796743184328079	Hyphessobrycon	5.456789582967758	Bujurquina	4.1376255452632895
DSC_1175-DSC_1176	Morona 3ra entrada 2019,nov	Nikon D 3500	Sat Nov 30 00:00:00 EST 2019	Loricariidae	Otocinclus	macrospilus	Otocinclus macrospilus	P1-CV2QKATI-40	Katira	PM-01	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1176.JPG	Pyrrhulina	84.52141880989075	Otocinclus	5.185322090983392	Hemigrammus	3.079316206276417	Corydoras	2.9223794117569923	Tatia	0.7948302663862705
DSC_1177-DSC_1178	Morona 3ra entrada 2019,nov	Nikon D 3500	Sat Nov 30 00:00:00 EST 2019	Trichomycteridae	Ochmacanthus	reinhardtii	Ochmacanthus reinhardtii	P1-CV2QKATI-41	Katira	PM-01	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1177.JPG	Pyrrhulina	96.39589786529541	Erythrinus	2.410898543894291	Tatia	0.2884747926145792	Doras	0.16152412863448262	Hyphessobrycon	0.14799319906160235
DSC_1177-DSC_1178	Morona 3ra entrada 2019,nov	Nikon D 3500	Sat Nov 30 00:00:00 EST 2019	Trichomycteridae	Ochmacanthus	reinhardtii	Ochmacanthus reinhardtii	P1-CV2QKATI-41	Katira	PM-01	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1178.JPG	Tatia	55.699944496154785	Erythrinus	20.13157457113266	Corydoras	15.848645567893982	Pimelodella	4.9287330359220505	Pyrrhulina	0.9728983975946904
DSC_1179-DSC_1180	Morona 3ra entrada 2019,nov	Nikon D 3500	Sat Nov 30 00:00:00 EST 2019	Loricariidae	Limatulichtys	griseus	Limatulichtys griseus	P1-CV2QKATI-42	Katira	PM-01	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1179.JPG	Rineloricaria	69.86445784568787	Tatia	22.78412729501724	Pimelodella	4.911944270133971	Oxyropsis	0.8893126621842384	Sorubim	0.5348650738596916
DSC_1179-DSC_1180	Morona 3ra entrada 2019,nov	Nikon D 3500	Sat Nov 30 00:00:00 EST 2019	Loricariidae	Limatulichtys	griseus	Limatulichtys griseus	P1-CV2QKATI-42	Katira	PM-01	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1180.JPG	Rineloricaria	77.24890708923341	Tatia	9.263708442449571	Oxyropsis	4.576193913817407	Corydoras	3.1627286225557327	Ancistrus	2.7492756024003033
